Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Cabreúva;SP;47011;1,02;7240981,438;154027,39;Pequenas · crescendo;1,4713;-0,4513;Não prioritário;1,5949;-0,5749;Não prioritário
Cachoeira Paulista;SP;31564;0,4;847786,431;26859,28;Pequenas · crescendo;1,5656;-1,1656;Não prioritário;1,7104;-1,3104;Não prioritário
Caieiras;SP;95032;0,78;5507619,475;57955,42;Grandes · crescendo;1,3049;-0,5249;Não prioritário;1,3909;-0,6109;Não prioritário
Cajamar;SP;92689;3,12;28984601,766;312708,11;Grandes · crescendo;1,3108;1,8092;Prioritário;1,3982;1,7218;Prioritário
Campinas;SP;1139047;0,43;91968328,317;80741,47;Grandes · crescendo;0,7174;-0,2874;Não prioritário;0,6711;-0,2411;Não prioritário
Campo Limpo Paulista;SP;77632;0,39;3233934,762;41657,24;Grandes · crescendo;1,3527;-0,9627;Não prioritário;1,4495;-1,0595;Não prioritário
Campos do Jordão;SP;46974;-0,14;1946799,338;41444,19;Pequenas · estagnadas;1,4715;-1,6115;Não prioritário;1,5951;-1,7351;Não prioritário
Capivari;SP;50068;0,25;3824460,124;76385,32;Pequenas · estagnadas;1,4564;-1,2064;Não prioritário;1,5767;-1,3267;Não prioritário
Capão Bonito;SP;46337;0,03;1668881,584;36016,18;Pequenas · estagnadas;1,4748;-1,4448;Não prioritário;1,5991;-1,5691;Não prioritário
Caraguatatuba;SP;134873;2,45;5822814,916;43172,58;Grandes · crescendo;1,2221;1,2279;Prioritário;1,2895;1,1605;Prioritário
Carapicuíba;SP;386984;0,38;8436817,19;21801,46;Grandes · crescendo;0,9728;-0,5928;Não prioritário;0,984;-0,604;Não prioritário
Catanduva;SP;115791;0,22;7029953,383;60712,43;Grandes · estagnadas;1,2581;-1,0381;Não prioritário;1,3337;-1,1137;Não prioritário
Caçapava;SP;96202;1,06;6516271,282;67735,3;Grandes · crescendo;1,302;-0,242;Não prioritário;1,3874;-0,3274;Não prioritário
Cerquilho;SP;44695;1,01;2891327,658;64690,18;Pequenas · crescendo;1,4833;-0,4733;Não prioritário;1,6096;-0,5996;Não prioritário
Cosmópolis;SP;59773;0,13;2313364,052;38702,49;Pequenas · estagnadas;1,4145;-1,2845;Não prioritário;1,5253;-1,3953;Não prioritário
Cotia;SP;274413;2,62;19060773,462;69460,17;Grandes · crescendo;1,0541;1,5659;Prioritário;1,0836;1,5364;Prioritário
Cravinhos;SP;33281;0,41;2357353,267;70831,8;Pequenas · crescendo;1,553;-1,143;Não prioritário;1,695;-1,285;Não prioritário
Cruzeiro;SP;74961;-0,23;4281961,617;57122,53;Grandes · estagnadas;1,361;-1,591;Não prioritário;1,4597;-1,6897;Não prioritário
Cubatão;SP;112476;-0,45;27813387,639;247282,87;Grandes · estagnadas;1,265;-1,715;Não prioritário;1,3421;-1,7921;Não prioritário
Cândido Mota;SP;29449;-0,12;2482755,063;84306,94;Pequenas · estagnadas;1,582;-1,702;Não prioritário;1,7305;-1,8505;Não prioritário
Descalvado;SP;31756;0,19;2584483,423;81385,67;Pequenas · estagnadas;1,5641;-1,3741;Não prioritário;1,7086;-1,5186;Não prioritário
Diadema;SP;393237;0,15;21229085,409;53985,47;Grandes · estagnadas;0,969;-0,819;Não prioritário;0,9793;-0,8293;Não prioritário
Dracena;SP;45474;0,42;1855223,877;40797,46;Pequenas · crescendo;1,4792;-1,0592;Não prioritário;1,6045;-1,1845;Não prioritário
Embu das Artes;SP;250691;0,36;17290649,652;68971,96;Grandes · crescendo;1,0754;-0,7154;Não prioritário;1,1098;-0,7498;Não prioritário
Embu-Guaçu;SP;66970;0,54;1742920,008;26025,38;Grandes · crescendo;1,3876;-0,8476;Não prioritário;1,4924;-0,9524;Não prioritário
Espírito Santo do Pinhal;SP;39816;-0,43;2715247,127;68194,87;Pequenas · estagnadas;1,5106;-1,9406;Não prioritário;1,6431;-2,0731;Não prioritário
Fernandópolis;SP;71186;0,8;2790708,1;39203,05;Grandes · crescendo;1,3732;-0,5732;Não prioritário;1,4747;-0,6747;Não prioritário
Ferraz de Vasconcelos;SP;179198;0,52;5523980,573;30826,13;Grandes · crescendo;1,1548;-0,6348;Não prioritário;1,2071;-0,6871;Não prioritário
Franca;SP;352536;0,85;14375667,458;40777,87;Grandes · crescendo;0,9948;-0,1448;Não prioritário;1,011;-0,161;Não prioritário
Francisco Morato;SP;165139;0,56;2237469,166;13549,01;Grandes · crescendo;1,1742;-0,6142;Não prioritário;1,2308;-0,6708;Não prioritário
Franco da Rocha;SP;144849;0,8;5438088,812;37543,16;Grandes · crescendo;1,2052;-0,4052;Não prioritário;1,2688;-0,4688;Não prioritário
Garça;SP;42110;-0,2;1893765,629;44971,87;Pequenas · estagnadas;1,4974;-1,6974;Não prioritário;1,6268;-1,8268;Não prioritário
Guararapes;SP;31043;0,12;1718487,879;55358,31;Pequenas · estagnadas;1,5695;-1,4495;Não prioritário;1,7152;-1,5952;Não prioritário
Guararema;SP;31236;1,59;2034662,745;65138,39;Pequenas · crescendo;1,568;0,022;Prioritário;1,7134;-0,1234;Não prioritário
Guaratinguetá;SP;118044;0,43;8369820,871;70904,25;Grandes · crescendo;1,2536;-0,8236;Não prioritário;1,3281;-0,8981;Não prioritário
Guariba;SP;37498;0,46;1517993,918;40482;Pequenas · crescendo;1,5248;-1,0648;Não prioritário;1,6604;-1,2004;Não prioritário
Guarujá;SP;287634;-0,09;11536359,008;40107,77;Grandes · estagnadas;1,0429;-1,1329;Não prioritário;1,07;-1,16;Não prioritário
Guarulhos;SP;1291771;0,46;97557673,612;75522,42;Grandes · crescendo;0,6877;-0,2277;Não prioritário;0,6346;-0,1746;Não prioritário
Guaíra;SP;39279;0,41;3233958,32;82333,01;Pequenas · crescendo;1,5138;-1,1038;Não prioritário;1,647;-1,237;Não prioritário
Hortolândia;SP;236641;1,73;22163924,356;93660,54;Grandes · crescendo;1,0891;0,6409;Prioritário;1,1265;0,6035;Prioritário
Ibaté;SP;32178;0,38;1516837,474;47138,96;Pequenas · crescendo;1,561;-1,181;Não prioritário;1,7048;-1,3248;Não prioritário
Ibitinga;SP;60033;1,02;2528835,327;42124,09;Grandes · crescendo;1,4135;-0,3935;Não prioritário;1,524;-0,504;Não prioritário
Ibiúna;SP;75605;0,5;3023500,924;39990,75;Grandes · crescendo;1,359;-0,859;Não prioritário;1,4572;-0,9572;Não prioritário
Iguape;SP;29115;0,08;1896850,188;65150,27;Pequenas · estagnadas;1,5847;-1,5047;Não prioritário;1,7338;-1,6538;Não prioritário
Ilhabela;SP;34934;1,8;14830714,927;424535,26;Pequenas · crescendo;1,5416;0,2584;Prioritário;1,681;0,119;Prioritário
Indaiatuba;SP;255748;2;28264863,052;110518,41;Grandes · crescendo;1,0707;0,9293;Prioritário;1,104;0,896;Prioritário
Iperó;SP;36459;2,13;1291002,665;35409,71;Pequenas · crescendo;1,5315;0,5985;Prioritário;1,6686;0,4614;Prioritário
Itanhaém;SP;112476;2,16;2956406,115;26284,77;Grandes · crescendo;1,265;0,895;Prioritário;1,3421;0,8179;Prioritário
Itapecerica da Serra;SP;158522;0,32;6215133,643;39206,76;Grandes · estagnadas;1,1838;-0,8638;Não prioritário;1,2426;-0,9226;Não prioritário
Itapetininga;SP;157790;0,74;7962801,863;50464,55;Grandes · crescendo;1,1849;-0,4449;Não prioritário;1,244;-0,504;Não prioritário
Itapeva;SP;89728;0,19;4558511,821;50803,67;Grandes · estagnadas;1,3185;-1,1285;Não prioritário;1,4076;-1,2176;Não prioritário
Itapevi;SP;232297;1,22;15615097,192;67220,4;Grandes · crescendo;1,0935;0,1265;Prioritário;1,1319;0,0881;Prioritário
Itapira;SP;72022;0,41;6365973,525;88389,29;Grandes · crescendo;1,3704;-0,9604;Não prioritário;1,4713;-1,0613;Não prioritário
Itaquaquecetuba;SP;369275;1,15;11979259,765;32439,94;Grandes · crescendo;0,9838;0,1662;Prioritário;0,9975;0,1525;Prioritário
Itararé;SP;44438;-0,63;1406445,26;31649,61;Pequenas · estagnadas;1,4846;-2,1146;Não prioritário;1,6112;-2,2412;Não prioritário
Itatiba;SP;121590;1,52;10327467,002;84936,81;Grandes · crescendo;1,2466;0,2734;Prioritário;1,3195;0,2005;Prioritário
Itu;SP;168240;0,73;14012530,257;83288,93;Grandes · crescendo;1,1698;-0,4398;Não prioritário;1,2254;-0,4954;Não prioritário
Itupeva;SP;70616;3,85;10529260,248;149105,87;Grandes · crescendo;1,3751;2,4749;Prioritário;1,477;2,373;Prioritário
Ituverava;SP;37571;-0,25;2218625,13;59051,53;Pequenas · estagnadas;1,5244;-1,7744;Não prioritário;1,6599;-1,9099;Não prioritário
Itápolis;SP;39493;-0,12;2524858,407;63931,8;Pequenas · estagnadas;1,5126;-1,6326;Não prioritário;1,6454;-1,7654;Não prioritário
Jaboticabal;SP;71821;0,02;4156253,295;57869,61;Grandes · estagnadas;1,3711;-1,3511;Não prioritário;1,4721;-1,4521;Não prioritário
Jacareí;SP;240275;1,08;19692996,445;81960,24;Grandes · crescendo;1,0855;-0,0055;Não prioritário;1,1221;-0,0421;Não prioritário
Jaguariúna;SP;59347;2,46;14680877,677;247373,54;Pequenas · crescendo;1,4162;1,0438;Prioritário;1,5274;0,9326;Prioritário
Jales;SP;48776;0,31;2590208,251;53104,15;Pequenas · estagnadas;1,4626;-1,1526;Não prioritário;1,5842;-1,2742;Não prioritário
Jandira;SP;118045;0,72;5547106,684;46991,46;Grandes · crescendo;1,2536;-0,5336;Não prioritário;1,3281;-0,6081;Não prioritário
Jardinópolis;SP;45282;1,55;2398612,345;52970,55;Pequenas · crescendo;1,4802;0,0698;Prioritário;1,6058;-0,0558;Não prioritário
Jarinu;SP;37535;3,85;3546443,823;94483,65;Pequenas · crescendo;1,5246;2,3254;Prioritário;1,6602;2,1898;Prioritário
Jaú;SP;133497;0,15;6542932,931;49011,83;Grandes · estagnadas;1,2245;-1,0745;Não prioritário;1,2924;-1,1424;Não prioritário
José Bonifácio;SP;36633;0,93;1940540,325;52972,47;Pequenas · crescendo;1,5303;-0,6003;Não prioritário;1,6672;-0,7372;Não prioritário
Jundiaí;SP;443221;1,51;65418378,096;147597,65;Grandes · crescendo;0,9407;0,5693;Prioritário;0,9446;0,5654;Prioritário
Leme;SP;98161;0,56;4938511,737;50310,32;Grandes · crescendo;1,2972;-0,7372;Não prioritário;1,3815;-0,8215;Não prioritário
Lençóis Paulista;SP;66505;0,66;6564647,742;98709,09;Grandes · crescendo;1,3893;-0,7293;Não prioritário;1,4944;-0,8344;Não prioritário
Limeira;SP;291869;0,47;20876940,083;71528,46;Grandes · crescendo;1,0395;-0,5695;Não prioritário;1,0657;-0,5957;Não prioritário
Lins;SP;74779;0,38;8610362,609;115144,13;Grandes · crescendo;1,3616;-0,9816;Não prioritário;1,4604;-1,0804;Não prioritário
Lorena;SP;84855;0,23;4501317,953;53047,17;Grandes · estagnadas;1,3317;-1,1017;Não prioritário;1,4238;-1,1938;Não prioritário
Louveira;SP;51847;2,83;20154612,051;388732,46;Pequenas · crescendo;1,4482;1,3818;Prioritário;1,5665;1,2635;Prioritário
Mairinque;SP;50027;1,23;2923463,212;58437,71;Pequenas · crescendo;1,4566;-0,2266;Não prioritário;1,5769;-0,3469;Não prioritário
Mairiporã;SP;93853;1,24;2767181,265;29484,21;Grandes · crescendo;1,3078;-0,0678;Não prioritário;1,3945;-0,1545;Não prioritário
Marília;SP;237627;0,77;12507570,77;52635,31;Grandes · crescendo;1,0881;-0,3181;Não prioritário;1,1253;-0,3553;Não prioritário
Matão;SP;79033;0,24;7646780,494;96754,27;Grandes · estagnadas;1,3485;-1,1085;Não prioritário;1,4444;-1,2044;Não prioritário
Mauá;SP;418261;0,03;25000732,02;59773,04;Grandes · estagnadas;0,9544;-0,9244;Não prioritário;0,9614;-0,9314;Não prioritário
Mirassol;SP;63337;1,37;3345887,627;52826,75;Grandes · crescendo;1,4008;-0,0308;Não prioritário;1,5085;-0,1385;Não prioritário
Mococa;SP;67681;0,17;4014553,266;59315,81;Grandes · estagnadas;1,3851;-1,2151;Não prioritário;1,4893;-1,3193;Não prioritário
Mogi Guaçu;SP;153658;0,95;9433837,649;61395,03;Grandes · crescendo;1,1912;-0,2412;Não prioritário;1,2517;-0,3017;Não prioritário
Mogi Mirim;SP;92558;0,57;8092719,13;87434,03;Grandes · crescendo;1,3111;-0,7411;Não prioritário;1,3986;-0,8286;Não prioritário
Mogi das Cruzes;SP;451505;1,28;26072522,197;57745,81;Grandes · crescendo;0,9363;0,3437;Prioritário;0,9393;0,3407;Prioritário
Mongaguá;SP;61951;2,46;1535905,805;24792,27;Grandes · crescendo;1,4061;1,0539;Prioritário;1,5149;0,9451;Prioritário
Monte Alto;SP;47574;0,17;3062782,095;64379,33;Pequenas · estagnadas;1,4685;-1,2985;Não prioritário;1,5915;-1,4215;Não prioritário
Monte Mor;SP;64662;2,35;6049397,718;93554,14;Grandes · crescendo;1,3959;0,9541;Prioritário;1,5025;0,8475;Prioritário
Nova Odessa;SP;62019;1,6;5613296,888;90509,31;Grandes · crescendo;1,4058;0,1942;Prioritário;1,5146;0,0854;Prioritário
Novo Horizonte;SP;38324;0,39;2313783,253;60374,26;Pequenas · crescendo;1,5197;-1,1297;Não prioritário;1,6541;-1,2641;Não prioritário
Olímpia;SP;55074;0,8;3569675,501;64815,98;Pequenas · crescendo;1,4339;-0,6339;Não prioritário;1,549;-0,749;Não prioritário
Orlândia;SP;38319;-0,31;3247647,904;84752,94;Pequenas · estagnadas;1,5197;-1,8297;Não prioritário;1,6542;-1,9642;Não prioritário
Osasco;SP;728615;0,74;119404052,763;163878,12;Grandes · crescendo;0,8231;-0,0831;Não prioritário;0,8006;-0,0606;Não prioritário
Osvaldo Cruz;SP;31272;0,1;1615247,661;51651,56;Pequenas · estagnadas;1,5678;-1,4678;Não prioritário;1,7131;-1,6131;Não prioritário
Ourinhos;SP;103970;0,08;4902761,91;47155,54;Grandes · estagnadas;1,2836;-1,2036;Não prioritário;1,3649;-1,2849;Não prioritário
Paraguaçu Paulista;SP;41120;-0,23;3133901,5;76213,56;Pequenas · estagnadas;1,503;-1,733;Não prioritário;1,6337;-1,8637;Não prioritário
Paulínia;SP;110537;2,5;67067300,461;606740,73;Grandes · crescendo;1,2691;1,2309;Prioritário;1,3471;1,1529;Prioritário
Pederneiras;SP;44827;0,65;3840420,972;85672,05;Pequenas · crescendo;1,4826;-0,8326;Não prioritário;1,6087;-0,9587;Não prioritário
Pedreira;SP;43112;0,31;1817291,527;42152,8;Pequenas · estagnadas;1,4918;-1,1818;Não prioritário;1,62;-1,31;Não prioritário
Penápolis;SP;61679;0,44;2743179,555;44475,1;Grandes · crescendo;1,4071;-0,9671;Não prioritário;1,5162;-1,0762;Não prioritário
Peruíbe;SP;68352;1,12;2366996,023;34629,51;Grandes · crescendo;1,3828;-0,2628;Não prioritário;1,4864;-0,3664;Não prioritário
Piedade;SP;52970;0,13;1839652,07;34730,07;Pequenas · estagnadas;1,4431;-1,3131;Não prioritário;1,5603;-1,4303;Não prioritário
Pindamonhangaba;SP;165428;0,99;13674680,185;82662,43;Grandes · crescendo;1,1738;-0,1838;Não prioritário;1,2303;-0,2403;Não prioritário
Piracicaba;SP;423323;1,25;44351587,75;104770,09;Grandes · crescendo;0,9515;0,2985;Prioritário;0,958;0,292;Prioritário
Piraju;SP;29436;0,28;1088629,415;36982,93;Pequenas · estagnadas;1,5821;-1,3021;Não prioritário;1,7306;-1,4506;Não prioritário
Pirassununga;SP;73545;0,4;4304413,432;58527,61;Grandes · crescendo;1,3655;-0,9655;Não prioritário;1,4652;-1,0652;Não prioritário
Pitangueiras;SP;33674;-0,39;1830159,52;54349,34;Pequenas · estagnadas;1,5503;-1,9403;Não prioritário;1,6916;-2,0816;Não prioritário
Pontal;SP;37607;-0,56;2153953,579;57275,34;Pequenas · estagnadas;1,5241;-2,0841;Não prioritário;1,6596;-2,2196;Não prioritário
Porto Feliz;SP;56497;1,21;5067048,835;89687,04;Pequenas · crescendo;1,4279;-0,2179;Não prioritário;1,5416;-0,3316;Não prioritário
Porto Ferreira;SP;52649;0,2;3069355,36;58298,46;Pequenas · estagnadas;1,4445;-1,2445;Não prioritário;1,5621;-1,3621;Não prioritário
Poá;SP;103765;-0,18;4610760,103;44434,64;Grandes · estagnadas;1,2841;-1,4641;Não prioritário;1,3654;-1,5454;Não prioritário
Praia Grande;SP;349935;2,44;11396645,549;32567,89;Grandes · crescendo;0,9966;1,4434;Prioritário;1,0131;1,4269;Prioritário
Presidente Epitácio;SP;39505;-0,37;1521762,21;38520,75;Pequenas · estagnadas;1,5125;-1,8825;Não prioritário;1,6453;-2,0153;Não prioritário
Presidente Prudente;SP;225668;0,7;11617598,706;51480,93;Grandes · crescendo;1,1003;-0,4003;Não prioritário;1,1403;-0,4403;Não prioritário
Presidente Venceslau;SP;35201;-0,62;1096298,255;31143,95;Pequenas · estagnadas;1,5398;-2,1598;Não prioritário;1,6788;-2,2988;Não prioritário
Promissão;SP;35131;-0,13;3349680,915;95348,29;Pequenas · estagnadas;1,5402;-1,6702;Não prioritário;1,6793;-1,8093;Não prioritário
Registro;SP;59947;0,83;2931914,98;48908,45;Pequenas · crescendo;1,4138;-0,5838;Não prioritário;1,5245;-0,6945;Não prioritário
Ribeirão Pires;SP;115559;0,16;4853228,612;41997,84;Grandes · estagnadas;1,2586;-1,0986;Não prioritário;1,3342;-1,1742;Não prioritário
Ribeirão Preto;SP;698642;1,21;52306819,755;74869,27;Grandes · crescendo;0,833;0,377;Prioritário;0,8128;0,3972;Prioritário
Rio Claro;SP;201418;0,65;15427116,506;76592,54;Grandes · crescendo;1,1272;-0,4772;Não prioritário;1,1732;-0,5232;Não prioritário
Rio Grande da Serra;SP;44170;0,04;1166050,396;26399,15;Pequenas · estagnadas;1,4861;-1,4461;Não prioritário;1,613;-1,573;Não prioritário
Rio das Pedras;SP;31328;0,5;2037525,868;65038,49;Pequenas · crescendo;1,5673;-1,0673;Não prioritário;1,7125;-1,2125;Não prioritário
Salto;SP;134319;2,03;11498958,795;85609,32;Grandes · crescendo;1,223;0,807;Prioritário;1,2906;0,7394;Prioritário
Salto de Pirapora;SP;43748;0,72;2856415,228;65292,48;Pequenas · crescendo;1,4884;-0,7684;Não prioritário;1,6158;-0,8958;Não prioritário
Santa Bárbara d'Oeste;SP;183347;0,15;10803991,725;58926,47;Grandes · estagnadas;1,1494;-0,9994;Não prioritário;1,2005;-1,0505;Não prioritário
Santa Cruz do Rio Pardo;SP;46442;0,47;4319822,468;93015,43;Pequenas · crescendo;1,4742;-1,0042;Não prioritário;1,5984;-1,1284;Não prioritário
Santa Fé do Sul;SP;34794;1,46;1988880,172;57161,58;Pequenas · crescendo;1,5425;-0,0825;Não prioritário;1,6821;-0,2221;Não prioritário
Santa Isabel;SP;53174;0,44;2298061,229;43217,76;Pequenas · crescendo;1,4422;-1,0022;Não prioritário;1,5592;-1,1192;Não prioritário
Santana de Parnaíba;SP;154105;2,94;14328397,388;92978,15;Grandes · crescendo;1,1905;1,7495;Prioritário;1,2508;1,6892;Prioritário
Santo André;SP;748919;0,85;36931350,665;49312,88;Grandes · crescendo;0,8166;0,0334;Prioritário;0,7926;0,0574;Prioritário
Santos;SP;418608;-0,02;30961718,45;73963,51;Grandes · estagnadas;0,9542;-0,9742;Não prioritário;0,9612;-0,9812;Não prioritário
Serra Negra;SP;29894;1,05;1025007,433;34288,07;Pequenas · crescendo;1,5784;-0,5284;Não prioritário;1,7261;-0,6761;Não prioritário
Serrana;SP;43909;1,02;1454534,798;33126,12;Pequenas · crescendo;1,4875;-0,4675;Não prioritário;1,6147;-0,5947;Não prioritário
Sertãozinho;SP;126887;1,19;9075017,911;71520,47;Grandes · crescendo;1,2365;-0,0465;Não prioritário;1,3071;-0,1171;Não prioritário
Socorro;SP;40122;0,75;1449300,539;36122,34;Pequenas · crescendo;1,5088;-0,7588;Não prioritário;1,6408;-0,8908;Não prioritário
Sorocaba;SP;723682;1,76;58816286,432;81273,66;Grandes · crescendo;0,8247;0,9353;Prioritário;0,8026;0,9574;Prioritário
Sumaré;SP;279545;1,29;19026093,466;68060,93;Grandes · crescendo;1,0497;0,2403;Prioritário;1,0782;0,2118;Prioritário
Suzano;SP;307429;1,33;18618697,595;60562,59;Grandes · crescendo;1,0272;0,3028;Prioritário;1,0507;0,2793;Prioritário
São Bernardo do Campo;SP;810729;0,48;71965791,185;88766,77;Grandes · crescendo;0,7978;-0,3178;Não prioritário;0,7696;-0,2896;Não prioritário
São Caetano do Sul;SP;165655;0,87;22553448,009;136147,1;Grandes · crescendo;1,1734;-0,3034;Não prioritário;1,2299;-0,3599;Não prioritário
São Carlos;SP;254857;1,16;18386920,167;72146,03;Grandes · crescendo;1,0715;0,0885;Prioritário;1,105;0,055;Prioritário
São Joaquim da Barra;SP;48558;0,36;2733786,441;56299,4;Pequenas · crescendo;1,4637;-1,1037;Não prioritário;1,5855;-1,2255;Não prioritário
São José do Rio Pardo;SP;52205;0,05;2876972,561;55109,14;Pequenas · estagnadas;1,4466;-1,3966;Não prioritário;1,5645;-1,5145;Não prioritário
São José do Rio Preto;SP;480393;1,37;26390120,821;54934,44;Grandes · crescendo;0,9216;0,4484;Prioritário;0,9213;0,4487;Prioritário
São José dos Campos;SP;697054;0,85;61394524,128;88077,14;Grandes · crescendo;0,8336;0,0164;Prioritário;0,8134;0,0366;Prioritário
São João da Boa Vista;SP;92547;0,85;5011180,867;54147,42;Grandes · crescendo;1,3111;-0,4611;Não prioritário;1,3986;-0,5486;Não prioritário
São Manuel;SP;37289;-0,23;1889877,382;50681,9;Pequenas · estagnadas;1,5261;-1,7561;Não prioritário;1,6621;-1,8921;Não prioritário
São Miguel Arcanjo;SP;32039;0,15;1157726,376;36134,91;Pequenas · estagnadas;1,562;-1,412;Não prioritário;1,706;-1,556;Não prioritário
São Paulo;SP;11451999;0,15;1066825104,983;93156,23;Grandes · estagnadas;0,1715;-0,0215;Não prioritário;0,0022;0,1478;Prioritário
São Pedro;SP;38256;1,59;1243177,03;32496,26;Pequenas · crescendo;1,5201;0,0699;Prioritário;1,6546;-0,0646;Não prioritário
São Roque;SP;79484;0,07;4532567,306;57024,9;Grandes · estagnadas;1,3471;-1,2771;Não prioritário;1,4427;-1,3727;Não prioritário
São Sebastião;SP;81595;0,82;17400619,207;213255,95;Grandes · crescendo;1,3409;-0,5209;Não prioritário;1,4351;-0,6151;Não prioritário
São Vicente;SP;329911;-0,06;7414656,3;22474,72;Grandes · estagnadas;1,0105;-1,0705;Não prioritário;1,0302;-1,0902;Não prioritário
Taboão da Serra;SP;273542;0,94;12084179,332;44176,69;Grandes · crescendo;1,0548;-0,1148;Não prioritário;1,0845;-0,1445;Não prioritário
Taquaritinga;SP;52260;-0,27;2307144,805;44147,43;Pequenas · estagnadas;1,4463;-1,7163;Não prioritário;1,5642;-1,8342;Não prioritário
Tatuí;SP;123942;1,21;6784534,581;54739,59;Grandes · crescendo;1,242;-0,032;Não prioritário;1,314;-0,104;Não prioritário
Taubaté;SP;310739;0,91;22607800,468;72754,95;Grandes · crescendo;1,0247;-0,1147;Não prioritário;1,0476;-0,1376;Não prioritário
Tietê;SP;37663;0,19;2954947,719;78457,58;Pequenas · estagnadas;1,5238;-1,3338;Não prioritário;1,6592;-1,4692;Não prioritário
Tremembé;SP;51173;1,87;1091770,581;21334,89;Pequenas · crescendo;1,4513;0,4187;Prioritário;1,5703;0,2997;Prioritário
Tupã;SP;63928;0,06;3128301,71;48934,77;Grandes · estagnadas;1,3986;-1,3386;Não prioritário;1,5058;-1,4458;Não prioritário
Ubatuba;SP;92981;1,39;3506919,269;37716,51;Grandes · crescendo;1,31;0,08;Prioritário;1,3973;-0,0073;Não prioritário
Valinhos;SP;126373;1,41;10200700,888;80718,99;Grandes · crescendo;1,2375;0,1725;Prioritário;1,3083;0,1017;Prioritário
Vargem Grande Paulista;SP;50415;1,34;3524292,853;69905,64;Pequenas · crescendo;1,4548;-0,1148;Não prioritário;1,5747;-0,2347;Não prioritário
Vargem Grande do Sul;SP;40133;0,18;1431641,524;35672,43;Pequenas · estagnadas;1,5087;-1,3287;Não prioritário;1,6408;-1,4608;Não prioritário
Vinhedo;SP;76540;1,55;14699664,334;192052,06;Grandes · crescendo;1,3561;0,1939;Prioritário;1,4536;0,0964;Prioritário
Votorantim;SP;127923;1,37;5209654,121;40724,92;Grandes · crescendo;1,2346;0,1354;Prioritário;1,3048;0,0652;Prioritário
Votuporanga;SP;96634;1,11;4582202,643;47418,12;Grandes · crescendo;1,3009;-0,1909;Não prioritário;1,3861;-0,2761;Não prioritário
Várzea Paulista;SP;115771;0,65;4736061,572;40908,88;Grandes · crescendo;1,2582;-0,6082;Não prioritário;1,3337;-0,6837;Não prioritário
